"vtkValidPointMask",t,"Point Coordinates:0",y,"Point Coordinates:2"
1,0.62684610691237285796,0,-1.9344650506973266602,0
1,0.63009847772748772687,0,-1.9545341730117797852,0
1,0.63333406082402687876,0,-1.9746026992797851562,0
1,0.63655311394275149173,0,-1.9946705102920532227,0
1,0.63975588828951790443,0,-2.0147376060485839844,0
1,0.64294262876507801696,0,-2.0348038673400878906,0
1,0.6461135741845877023,0,-2.0548696517944335938,0
1,0.64926895748738100433,0,-2.0749347209930419922,0
1,0.65240900593753303749,0,-2.0949993133544921875,0
1,0.65553394131570186243,0,-2.1150631904602050781,0
1,0.65864398010270697181,0,-2.1351263523101806641,0
1,0.66173933365527759509,0,-2.1551890373229980469,0
1,0.66482020837437383332,0,-2.1752512454986572266,0
1,0.66788680586646165249,0,-2.1953127384185791016,0
1,0.67093932309809833914,0,-2.2153735160827636719,0
1,0.67397795254416525967,0,-2.2354340553283691406,0
1,0.67700288233006433725,0,-2.2554938793182373047,0
1,0.68001429636817489754,0,-2.2755532264709472656,0
1,0.68301237448885354642,0,-2.2956118583679199219,0
1,0.68599729256623953599,0,-2.3156702518463134766,0
1,0.68896922263911697382,0,-2.3357279300689697266,0
1,0.69192833302706813203,0,-2.3557851314544677734,0
1,0.69487478844214123352,0,-2.3758420944213867188,0
1,0.69780875009624121486,0,-2.3958983421325683594,0
1,0.70073037580444419437,0,-2.4159541130065917969,0
1,0.7036398200844208306,0,-2.4360094070434570312,0
1,0.70653723425214864928,0,-2.4560644626617431641,0
1,0.70942276651407965016,0,-2.4761188030242919922,0
1,0.71229656205592262186,0,-2.4961729049682617188,0
1,0.71515876312819182115,0,-2.5162265300750732422,0
1,0.71800950912866368103,0,-2.5362796783447265625,0
1,0.72084893668187832727,0,-2.5563323497772216797,0
1,0.72367717971581357883,0,-2.5763845443725585938,0
1,0.72649436953585289078,0,-2.5964365005493164062,0
1,0.72930063489616492323,0,-2.6164879798889160156,0
1,0.73209610206860242787,0,-2.6365392208099365234,0
1,0.73488089490922747782,0,-2.6565899848937988281,0
1,0.73765513492255918582,0,-2.6766402721405029297,0
1,0.74041894132364138859,0,-2.6966900825500488281,0
1,0.743172431098018893,0,-2.716739654541015625,0
1,0.7459157190597075493,0,-2.7367889881134033203,0
1,0.7486489179072396416,0,-2.7568378448486328125,0
1,0.7513721382778629776,0,-2.7768862247467041016,0
1,0.75408548879996628589,0,-2.7969343662261962891,0
1,0.75678907614380241942,0,-2.816982269287109375,0
1,0.75948300507057620035,0,-2.8370296955108642578,0
1,0.76216737847995974509,0,-2.8570768833160400391,0
1,0.76484229745609877416,0,-2.8771235942840576172,0
1,0.76750786131216564012,0,-2.8971700668334960938,0
1,0.77016416763351658314,0,-2.9172163009643554688,0
1,0.77281131231950539462,0,-2.9372620582580566406,0
1,0.77544938962400433713,0,-2.9573075771331787109,0
1,0.77807849219468094848,0,-2.9773528575897216797,0
1,0.78069871111107780326,0,-2.9973976612091064453,0
