"vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
1,1.0156456320602131882,0,-4.7459287643432617188,0
1,1.0157526571825985506,0,-4.7469286918640136719,0
1,1.0158596695419861433,0,-4.7479281425476074219,0
1,1.0159666692065565385,0,-4.748928070068359375,0
1,1.0160736562413674733,0,-4.749927520751953125,0
1,1.0161806307085039514,0,-4.7509274482727050781,0
1,1.0162875926672225724,0,-4.7519273757934570312,0
1,1.0163945421740891994,0,-4.7529268264770507812,0
1,1.016501479283107745,0,-4.7539267539978027344,0
1,1.0166084040458445159,0,-4.7549262046813964844,0
1,1.0167153165115472291,0,-4.7559261322021484375,0
1,1.0168222289772499423,0,-4.7569255828857421875,0
1,1.0169291287202129048,0,-4.7579255104064941406,0
1,1.0170360158083928681,0,-4.7589254379272460938,0
1,1.0171428903066326299,0,-4.7599248886108398438,0
1,1.0172497522768124689,0,-4.7609248161315917969,0
1,1.0173566017779931414,0,-4.76192474365234375,0
1,1.0174634388665531048,0,-4.7629241943359375,0
1,1.0175702635963173037,0,-4.7639241218566894531,0
1,1.0176770760186806264,0,-4.7649235725402832031,0
1,1.0177838761827269209,0,-4.7659235000610351562,0
1,1.0178906763467732155,0,-4.7669229507446289062,0
1,1.0179974638281268362,0,-4.7679228782653808594,0
1,1.0181042386945211575,0,-4.7689228057861328125,0
1,1.0182110010105858144,0,-4.7699222564697265625,0
1,1.0183177508379976928,0,-4.7709221839904785156,0
1,1.0184244882356225936,0,-4.7719221115112304688,0
1,1.018531213259652457,0,-4.7729215621948242188,0
1,1.0186379259637337036,0,-4.7739214897155761719,0
1,1.0187446263990915796,0,-4.7749209403991699219,0
1,1.0188513146146465083,0,-4.775920867919921875,0
1,1.018958002830201437,0,-4.776920318603515625,0
1,1.0190646784029011584,0,-4.7779202461242675781,0
1,1.0191713414002570026,0,-4.7789201736450195312,0
1,1.0192779918866867739,0,-4.7799196243286132812,0
1,1.0193846299236639652,0,-4.7809195518493652344,0
1,1.0194912555698611989,0,-4.7819190025329589844,0
1,1.0195978688812852297,0,-4.7829189300537109375,0
1,1.0197044699114052868,0,-4.7839188575744628906,0
1,1.0198110587112774184,0,-4.7849183082580566406,0
1,1.0199176353296590669,0,-4.7859182357788085938,0
1,1.0200242119480407155,0,-4.7869176864624023438,0
1,1.0201307759631967897,0,-4.7879176139831542969,0
1,1.0202373274424174632,0,-4.78891754150390625,0
1,1.0203438664499095978,0,-4.7899169921875,0
1,1.0204503930469450701,0,-4.7909169197082519531,0
1,1.0205569072920042117,0,-4.7919163703918457031,0
1,1.0206634092409090364,0,-4.7929162979125976562,0
1,1.0207698989469529138,0,-4.7939157485961914062,0
1,1.0208763764610231384,0,-4.7949156761169433594,0
1,1.0209828418317159482,0,-4.7959151268005371094,0
1,1.021089307202408758,0,-4.7969150543212890625,0
1,1.0211957600092986809,0,-4.7979149818420410156,0
1,1.0213022003194560661,0,-4.7989149093627929688,0
1,1.0214086281968781655,0,-4.7999143600463867188,0
1,1.0215150437026370156,0,-4.8009142875671386719,0
1,1.0216214468950202132,0,-4.8019137382507324219,0
1,1.0217278378296672514,0,-4.802913665771484375,0
1,1.0218342165596960847,0,-4.803913116455078125,0
1,1.0219405831358265857,0,-4.8049130439758300781,0
1,1.0220469376064946765,0,-4.8059124946594238281,0
1,1.0221532920771627673,0,-4.8069124221801757812,0
1,1.0222596340232450451,0,-4.8079123497009277344,0
1,1.0223659635115946998,0,-4.8089118003845214844,0
1,1.0224722806059993729,0,-4.8099117279052734375,0
1,1.022578585367331705,0,-4.8109116554260253906,0
1,1.0226848778536892226,0,-4.8119111061096191406,0
1,1.0227911581205288982,0,-4.8129110336303710938,0
1,1.0228974262207946033,0,-4.8139104843139648438,0
1,1.023003682205038789,0,-4.8149104118347167969,0
1,1.0231099261215388374,0,-4.8159098625183105469,0
1,1.0232161700380388858,0,-4.8169097900390625,0
1,1.0233224014689672465,0,-4.8179097175598144531,0
1,1.0234286204809595056,0,-4.8189091682434082031,0
1,1.0235348271375963591,0,-4.8199090957641601562,0
1,1.0236410214995514956,0,-4.8209090232849121094,0
1,1.0237472036247332596,0,-4.8219084739685058594,0
1,1.0238533735684174353,0,-4.8229084014892578125,0
1,1.0239595313833742551,0,-4.8239078521728515625,0
1,1.0240656771199909691,0,-4.8249077796936035156,0
1,1.0241718108263859754,0,-4.8259072303771972656,0
1,1.0242779445327809817,0,-4.8269071578979492188,0
1,1.024384065792415921,0,-4.8279070854187011719,0
1,1.0244901746717105517,0,-4.8289065361022949219,0
1,1.0245962712340390688,0,-4.829906463623046875,0
